GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADQ001,ADZ001,AD9001,AE6001,AE6002,AE6003
"G0900010","1850","Connecticut","090","Fairfield","0010","Fairfield","1","10",59775,6080,0,58319,1456,0
"G0900030","1850","Connecticut","090","Hartford","0030","Hartford","1","30",69967,13555,0,68707,1260,0
"G0900050","1850","Connecticut","090","Litchfield","0050","Litchfield","1","50",45253,0,0,44222,1031,0
"G0900070","1850","Connecticut","090","Middlesex","0070","Middlesex","1","70",27216,4211,0,26927,289,0
"G0900090","1850","Connecticut","090","New Haven","0090","New Haven","1","90",65588,20345,0,64159,1429,0
"G0900110","1850","Connecticut","090","New London","0110","New London","1","110",51821,15130,0,50313,1508,0
"G0900130","1850","Connecticut","090","Tolland","0130","Tolland","1","130",20091,0,0,19946,145,0
"G0900150","1850","Connecticut","090","Windham","0150","Windham","1","150",31081,0,0,30506,575,0
"G1000010","1850","Delaware","100","Kent","0010","Kent","11","10",22816,0,0,16084,6385,347
"G1000030","1850","Delaware","100","New Castle","0030","New Castle","11","30",42780,13979,0,34765,7621,394
"G1000050","1850","Delaware","100","Sussex","0050","Sussex","11","50",25936,0,0,20320,4067,1549
"G1100017","1850","District Of Columbia","110","Georgetown","0017","Georgetown","98","5",8366,8366,0,6080,1561,725
"G1100075","1850","District Of Columbia","110","Rural Washington county","0075","Rural Washington county","98","7",3320,0,0,2131,340,849
"G1100115","1850","District Of Columbia","110","Washington City","0115","Washington City","98","3",40001,40001,40001,29730,8158,2113
"G1200010","1850","Florida","120","Alachua","0010","Alachua","43","10",2524,0,0,1617,1,906
"G1200065","1850","Florida","120","Benton","0065","Benton","43","530",926,0,0,604,0,322
"G1200130","1850","Florida","120","Calhoun","0130","Calhoun","43","130",1377,0,0,886,38,453
"G1200230","1850","Florida","120","Columbia","0230","Columbia","43","230",4808,0,0,3541,1,1266
"G1200250","1850","Florida","120","Dade","0250","Dade","43","250",159,0,0,147,1,11
"G1200310","1850","Florida","120","Duval","0310","Duval","43","310",4539,0,0,2338,95,2106
"G1200330","1850","Florida","120","Escambia","0330","Escambia","43","330",4351,0,0,2644,375,1332
"G1200370","1850","Florida","120","Franklin","0370","Franklin","43","370",1561,0,0,1184,0,377
"G1200390","1850","Florida","120","Gadsden","0390","Gadsden","43","390",8784,0,0,3897,7,4880
"G1200470","1850","Florida","120","Hamilton","0470","Hamilton","43","470",2511,0,0,1817,9,685
"G1200570","1850","Florida","120","Hillsborough","0570","Hillsborough","43","570",2377,0,0,1706,11,660
"G1200590","1850","Florida","120","Holmes","0590","Holmes","43","590",1205,0,0,1037,5,163
"G1200630","1850","Florida","120","Jackson","0630","Jackson","43","630",6639,0,0,3075,30,3534
"G1200650","1850","Florida","120","Jefferson","0650","Jefferson","43","650",7718,0,0,2775,5,4938
"G1200730","1850","Florida","120","Leon","0730","Leon","43","730",11442,0,0,3183,56,8203
"G1200750","1850","Florida","120","Levy","0750","Levy","43","750",465,0,0,320,0,145
"G1200790","1850","Florida","120","Madison","0790","Madison","43","790",5490,0,0,2802,0,2688
"G1200830","1850","Florida","120","Marion","0830","Marion","43","830",3338,0,0,2068,1,1269
"G1200870","1850","Florida","120","Monroe","0870","Monroe","43","870",2645,0,0,2088,126,431
"G1200890","1850","Florida","120","Nassau","0890","Nassau","43","890",2164,0,0,1061,26,1077
"G1200950","1850","Florida","120","Orange","0950","Orange","43","950",466,0,0,238,2,226
"G1201070","1850","Florida","120","Putnam","1070","Putnam","43","1070",687,0,0,473,10,204
"G1201090","1850","Florida","120","St Johns","1090","St Johns","43","1090",2525,0,0,1417,115,993
