GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABA001,ABE001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G2102090","1820","Kentucky","210","Scott","2090","Scott","51","2090",14219,0,4949,4596,2409,2211,39,15
"G2102110","1820","Kentucky","210","Shelby","2110","Shelby","51","2110",21047,0,8038,7758,2560,2598,47,46
"G2102130","1820","Kentucky","210","Simpson","2130","Simpson","51","2130",4852,0,2013,2019,393,410,11,6
"G2102190","1820","Kentucky","210","Todd","2190","Todd","51","2190",5089,0,1715,1641,869,860,4,0
"G2102210","1820","Kentucky","210","Trigg","2210","Trigg","51","2210",3874,0,1619,1420,407,409,10,9
"G2102250","1820","Kentucky","210","Union","2250","Union","51","2250",3470,0,1270,1159,535,500,5,1
"G2102270","1820","Kentucky","210","Warren","2270","Warren","51","2270",11776,0,4804,4365,1353,1201,29,24
"G2102290","1820","Kentucky","210","Washington","2290","Washington","51","2290",15947,0,6186,5973,1832,1902,32,22
"G2102310","1820","Kentucky","210","Wayne","2310","Wayne","51","2310",7951,0,3750,3643,266,287,4,1
"G2102350","1820","Kentucky","210","Whitley","2350","Whitley","51","2350",2340,0,1167,1065,37,59,6,6
"G2102390","1820","Kentucky","210","Woodford","2390","Woodford","51","2390",12207,0,3750,3672,2382,2296,57,50
"G2200050","1820","Louisiana","220","Ascension","0050","Ascension","45","50",3728,0,837,658,1152,977,54,50
"G2200070","1820","Louisiana","220","Assumption","0070","Assumption","45","70",3576,0,1226,1183,596,553,7,11
"G2200075","1820","Louisiana","220","Attakapas","0075","Attakapas","45","990",12063,0,3117,2745,3068,2639,238,256
"G2200090","1820","Louisiana","220","Avoyelles","0090","Avoyelles","45","90",2245,0,782,656,422,360,24,1
"G2200250","1820","Louisiana","220","Catahoula","0250","Catahoula","45","250",2287,0,870,654,391,360,9,3
"G2200290","1820","Louisiana","220","Concordia","0290","Concordia","45","290",2626,0,469,358,949,838,6,6
"G2200330","1820","Louisiana","220","East Baton Rouge","0330","East Baton Rouge","45","330",5220,0,1407,1193,1074,1002,49,83
"G2200470","1820","Louisiana","220","Iberville","0470","Iberville","45","470",4414,0,1120,899,1256,1023,60,56
"G2200570","1820","Louisiana","220","Lafourche","0570","Lafourche","45","570",3755,0,1414,1238,542,426,74,54
"G2200690","1820","Louisiana","220","Natchitoches","0690","Natchitoches","45","690",7486,0,2633,2112,1154,1172,263,152
"G2200710","1820","Louisiana","220","Orleans","0710","Orleans","45","710",41351,27176,11675,7569,7331,7615,2835,4326
"G2200730","1820","Louisiana","220","Ouachita","0730","Ouachita","45","730",2896,0,1096,920,419,417,17,27
"G2200750","1820","Louisiana","220","Plaquemines","0750","Plaquemines","45","750",2354,0,384,253,874,692,81,70
"G2200770","1820","Louisiana","220","Pointe Coupee","0770","Pointe Coupee","45","770",4912,0,595,497,1976,1654,85,105
"G2200790","1820","Louisiana","220","Rapides","0790","Rapides","45","790",6065,0,1479,1012,1822,1667,46,39
"G2200870","1820","Louisiana","220","St Bernard","0870","St Bernard","45","870",2635,0,348,319,1190,733,24,21
"G2200890","1820","Louisiana","220","St Charles","0890","St Charles","45","890",3862,0,400,327,1844,1143,63,85
"G2200910","1820","Louisiana","220","St Helena","0910","St Helena","45","910",3026,0,1175,989,418,412,17,15
"G2200930","1820","Louisiana","220","St James","0930","St James","45","930",5660,0,1241,1281,1766,1320,22,30
"G2200950","1820","Louisiana","220","St John The Baptist","0950","St John The Baptist","45","950",3854,0,838,694,1282,927,50,63
"G2200970","1820","Louisiana","220","St Landry","0970","St Landry","45","970",10085,0,2929,2439,2048,1903,368,398
"G2201030","1820","Louisiana","220","St Tammany","1030","St Tammany","45","1030",1723,0,630,423,335,296,16,23
"G2201170","1820","Louisiana","220","Washington","1170","Washington","45","1170",2517,0,1090,867,304,255,1,0
"G2201210","1820","Louisiana","220","West Baton Rouge","1210","West Baton Rouge","45","1210",2335,0,503,405,734,569,63,61
"G2201250","1820","Louisiana","220","West Feliciana","1250","West Feliciana","45","1250",12732,0,3074,2360,3619,3545,37,32
"G2300050","1820","Maine","230","Cumberland","0050","Cumberland","2","50",49445,8581,24047,24983,0,0,161,188
"G2300090","1820","Maine","230","Hancock","0090","Hancock","2","90",31290,0,15964,15285,0,0,21,20
"G2300110","1820","Maine","230","Kennebec","0110","Kennebec","2","110",42623,0,21408,21049,0,0,79,87
"G2300150","1820","Maine","230","Lincoln","0150","Lincoln","2","150",53189,0,26560,26460,0,0,73,96
"G2300170","1820","Maine","230","Oxford","0170","Oxford","2","170",27104,0,13714,13372,0,0,7,11
"G2300190","1820","Maine","230","Penobscot","0190","Penobscot","2","190",13870,0,7160,6694,0,0,8,8
"G2300250","1820","Maine","230","Somerset","0250","Somerset","2","250",21787,0,11027,10748,0,0,8,4
"G2300290","1820","Maine","230","Washington","0290","Washington","2","290",12744,0,6765,5923,0,0,29,27
"G2300310","1820","Maine","230","York","0310","York","2","310",46283,0,22550,23631,0,0,51,51
"G2400010","1820","Maryland","240","Allegany","0010","Allegany","52","10",8654,0,4080,3584,399,396,102,93
"G2400030","1820","Maryland","240","Anne Arundel","0030","Anne Arundel","52","30",27165,0,6845,6637,5450,4851,1649,1733
"G2400050","1820","Maryland","240","Baltimore","0050","Baltimore","52","50",33463,0,12511,12069,3713,3007,1077,1086
"G2400090","1820","Maryland","240","Calvert","0090","Calvert","52","70",8073,0,1899,1812,1830,1838,342,352
"G2400110","1820","Maryland","240","Caroline","0110","Caroline","52","90",10108,0,3645,3499,787,787,686,704
"G2400150","1820","Maryland","240","Cecil","0150","Cecil","52","130",16048,0,6198,5725,1296,1046,874,909
"G2400170","1820","Maryland","240","Charles","0170","Charles","52","150",16500,0,3103,3411,4787,4632,274,293
"G2400190","1820","Maryland","240","Dorchester","0190","Dorchester","52","170",17759,0,5131,4964,2698,2470,1193,1303
