GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAS001,AAU001,AAV001,AAY001,AAY002
"G4500570","1800","South Carolina","450","Lancaster","0570","Lancaster","48","570",6012,6012,0,38,1076
"G4500590","1800","South Carolina","450","Laurens","0590","Laurens","48","590",12809,12809,0,20,1919
"G4500670","1800","South Carolina","450","Marion","0670","Marion","48","670",6914,6914,0,138,2155
"G4500690","1800","South Carolina","450","Marlboro","0690","Marlboro","48","690",5452,5452,0,179,1393
"G4500710","1800","South Carolina","450","Newberry","0710","Newberry","48","710",12006,12006,0,95,2204
"G4500750","1800","South Carolina","450","Orangeburg","0750","Orangeburg","48","750",15766,15766,0,95,5356
"G4500755","1800","South Carolina","450","Pendleton","0755","Pendleton","48","755",20052,20052,0,68,2224
"G4500790","1800","South Carolina","450","Richland","0790","Richland","48","790",6097,6097,0,135,3033
"G4500830","1800","South Carolina","450","Spartanburg","0830","Spartanburg","48","830",12122,12122,0,46,1467
"G4500850","1800","South Carolina","450","Sumter","0850","Sumter","48","850",13103,13103,0,301,6563
"G4500870","1800","South Carolina","450","Union","0870","Union","48","870",10237,10237,0,68,1697
"G4500910","1800","South Carolina","450","York","0910","York","48","910",10250,10250,0,27,1804
"G4700090","1800","Tennessee","470","Blount","0090","Blount","54","90",5587,5587,0,2,345
"G4700190","1800","Tennessee","470","Carter","0190","Carter","54","190",4813,4813,0,96,208
"G4700370","1800","Tennessee","470","Davidson","0370","Davidson","54","370",9965,9965,0,17,3087
"G4700570","1800","Tennessee","470","Grainger","0570","Grainger","54","570",7367,7367,0,0,496
"G4700590","1800","Tennessee","470","Greene","0590","Greene","54","590",7610,7610,0,2,471
"G4700730","1800","Tennessee","470","Hawkins","0730","Hawkins","54","730",6563,6563,0,85,811
"G4700890","1800","Tennessee","470","Jefferson","0890","Jefferson","54","900",9017,9017,0,27,695
"G4700930","1800","Tennessee","470","Knox","0930","Knox","54","930",12446,12446,0,19,1298
"G4701250","1800","Tennessee","470","Montgomery","1250","Montgomery","54","1250",2899,2899,0,0,821
"G4701470","1800","Tennessee","470","Robertson","1470","Robertson","54","1470",4280,4280,0,3,863
"G4701550","1800","Tennessee","470","Sevier","1550","Sevier","54","1550",3419,3419,0,2,162
"G4701590","1800","Tennessee","470","Smith","1590","Smith","54","1590",4294,4294,0,4,597
"G4701630","1800","Tennessee","470","Sullivan","1630","Sullivan","54","1630",10218,10218,0,17,491
"G4701650","1800","Tennessee","470","Sumner","1650","Sumner","54","1650",4616,4616,0,0,1284
"G4701790","1800","Tennessee","470","Washington","1790","Washington","54","1790",6379,6379,0,25,533
"G4701870","1800","Tennessee","470","Williamson","1870","Williamson","54","1870",2868,2868,0,1,693
"G4701890","1800","Tennessee","470","Wilson","1890","Wilson","54","1890",3261,3261,0,9,729
"G5000010","1800","Vermont","500","Addison","0010","Addison","6","10",13417,13417,0,66,0
"G5000030","1800","Vermont","500","Bennington","0030","Bennington","6","30",14617,14617,0,78,0
"G5000050","1800","Vermont","500","Caledonia","0050","Caledonia","6","50",9377,9377,0,16,0
"G5000070","1800","Vermont","500","Chittenden","0070","Chittenden","6","70",12778,12778,0,46,0
"G5000090","1800","Vermont","500","Essex","0090","Essex","6","90",1479,1479,0,3,0
"G5000110","1800","Vermont","500","Franklin","0110","Franklin","6","110",8782,8782,0,20,0
"G5000170","1800","Vermont","500","Orange","0170","Orange","6","170",18238,18238,0,86,0
"G5000190","1800","Vermont","500","Orleans","0190","Orleans","6","190",1439,1439,0,17,0
"G5000210","1800","Vermont","500","Rutland","0210","Rutland","6","210",23813,23813,0,90,0
"G5000250","1800","Vermont","500","Windham","0250","Windham","6","250",23581,23581,0,40,0
"G5000270","1800","Vermont","500","Windsor","0270","Windsor","6","270",26944,26944,0,95,0
"G5100010","1800","Virginia","510","Accomack","0010","Accomack","40","10",15693,15693,0,1541,4429
"G5100030","1800","Virginia","510","Albemarle","0030","Albemarle","40","30",16439,16439,0,207,7436
"G5100070","1800","Virginia","510","Amelia","0070","Amelia","40","70",9432,9432,0,58,6585
"G5100090","1800","Virginia","510","Amherst","0090","Amherst","40","90",16801,16801,0,134,7462
"G5100150","1800","Virginia","510","Augusta","0150","Augusta","40","150",11712,11712,0,95,1946
"G5100170","1800","Virginia","510","Bath","0170","Bath","40","170",5508,5508,0,17,661
"G5100190","1800","Virginia","510","Bedford","0190","Bedford","40","190",14125,14125,0,202,4097
"G5100195","1800","Virginia","510","Berkeley","0195","Berkeley","40","195",22006,22006,0,203,3971
"G5100230","1800","Virginia","510","Botetourt","0230","Botetourt","40","230",10427,10427,0,135,1519
"G5100237","1800","Virginia","510","Brooke","0237","Brooke","40","245",4706,4706,0,16,288
"G5100250","1800","Virginia","510","Brunswick","0250","Brunswick","40","250",16339,16339,0,270,9422
"G5100290","1800","Virginia","510","Buckingham","0290","Buckingham","40","290",13389,13389,0,229,6336
"G5100310","1800","Virginia","510","Campbell","0310","Campbell","40","310",9866,9866,0,302,3671
"G5100330","1800","Virginia","510","Caroline","0330","Caroline","40","330",17438,17438,0,365,10581
"G5100360","1800","Virginia","510","Charles City","0360","Charles City","40","360",5365,5365,0,398,3013
"G5100370","1800","Virginia","510","Charlotte","0370","Charlotte","40","370",11912,11912,0,123,6283
"G5100410","1800","Virginia","510","Chesterfield","0410","Chesterfield","40","410",14488,14488,0,319,7852
"G5100470","1800","Virginia","510","Culpeper","0470","Culpeper","40","470",18100,18100,0,273,7348
"G5100490","1800","Virginia","510","Cumberland","0490","Cumberland","40","490",9839,9839,0,183,5711
"G5100530","1800","Virginia","510","Dinwiddie","0530","Dinwiddie","40","530",11853,11853,0,246,6866
"G5100550","1800","Virginia","510","Elizabeth City","0550","Elizabeth City","40","550",2778,2778,0,18,1522
"G5100570","1800","Virginia","510","Essex","0570","Essex","40","570",9508,9508,0,276,5767
"G5100590","1800","Virginia","510","Fairfax","0590","Fairfax","40","590",13317,13317,0,204,6078
"G5100610","1800","Virginia","510","Fauquier","0610","Fauquier","40","610",21329,21329,0,131,8754
"G5100650","1800","Virginia","510","Fluvanna","0650","Fluvanna","40","650",4623,4623,0,44,1920
"G5100670","1800","Virginia","510","Franklin","0670","Franklin","40","670",9302,9302,0,27,1574
"G5100690","1800","Virginia","510","Frederick","0690","Frederick","40","690",24744,24744,0,453,5663
"G5100730","1800","Virginia","510","Gloucester","0730","Gloucester","40","730",8181,8181,0,35,4909
"G5100750","1800","Virginia","510","Goochland","0750","Goochland","40","750",9696,9696,0,413,4803
"G5100770","1800","Virginia","510","Grayson","0770","Grayson","40","770",3912,3912,0,1,170
"G5100775","1800","Virginia","510","Greenbrier","0775","Greenbrier","40","775",4345,4345,0,2,297
"G5100810","1800","Virginia","510","Greensville","0810","Greensville","40","810",6727,6727,0,213,4116
"G5100830","1800","Virginia","510","Halifax","0830","Halifax","40","830",19377,19377,0,298,7911
"G5100833","1800","Virginia","510","Hampshire","0833","Hampshire","40","835",8348,8348,0,120,630
"G5100850","1800","Virginia","510","Hanover","0850","Hanover","40","850",14403,14403,0,259,8192
"G5100853","1800","Virginia","510","Hardy","0853","Hardy","40","855",6627,6627,0,111,623
"G5100857","1800","Virginia","510","Harrison","0857","Harrison","40","865",4848,4848,0,5,245
"G5100870","1800","Virginia","510","Henrico","0870","Henrico","40","870",9149,9149,0,542,4608
"G5100890","1800","Virginia","510","Henry","0890","Henry","40","890",5259,5259,0,129,1415
"G5100930","1800","Virginia","510","Isle Of Wight","0930","Isle Of Wight","40","930",9342,9342,0,578,4029
"G5100950","1800","Virginia","510","James City","0950","James City","40","950",3931,3931,0,168,2389
"G5100957","1800","Virginia","510","Kanawha","0957","Kanawha","40","965",3239,3239,0,7,231
"G5100970","1800","Virginia","510","King And Queen","0970","King And Queen","40","970",9879,9879,0,164,5380
"G5100990","1800","Virginia","510","King George","0990","King George","40","990",6749,6749,0,164,3987
"G5101010","1800","Virginia","510","King William","1010","King William","40","1010",9055,9055,0,172,5744
"G5101030","1800","Virginia","510","Lancaster","1030","Lancaster","40","1030",5375,5375,0,159,3126
"G5101050","1800","Virginia","510","Lee","1050","Lee","40","1050",3538,3538,0,3,243
"G5101070","1800","Virginia","510","Loudoun","1070","Loudoun","40","1070",20523,20523,0,333,4990
"G5101090","1800","Virginia","510","Louisa","1090","Louisa","40","1090",11892,11892,0,132,5992
"G5101110","1800","Virginia","510","Lunenburg","1110","Lunenburg","40","1110",10381,10381,0,133,5876
"G5101130","1800","Virginia","510","Madison","1130","Madison","40","1130",8322,8322,0,50,3436
"G5101150","1800","Virginia","510","Mathews","1150","Matthews","40","1150",5806,5806,0,17,2804
"G5101170","1800","Virginia","510","Mecklenburg","1170","Mecklenburg","40","1170",17008,17008,0,553,8676
"G5101190","1800","Virginia","510","Middlesex","1190","Middlesex","40","1190",4203,4203,0,84,2516
"G5101193","1800","Virginia","510","Monongalia","1193","Monongalia","40","1195",8540,8540,0,18,163
"G5101197","1800","Virginia","510","Monroe","1197","Monroe","40","1205",4188,4188,0,12,189
"G5101210","1800","Virginia","510","Montgomery","1210","Montgomery","40","1210",9044,9044,0,39,968
"G5101230","1800","Virginia","510","Nansemond","1230","Nansemond","40","1230",11127,11127,0,910,4408
"G5101270","1800","Virginia","510","New Kent","1270","New Kent","40","1270",6363,6363,0,218,3622
"G5101290","1800","Virginia","510","Norfolk","1290","Norfolk","40","1290",12493,12493,0,207,4735
"G5101310","1800","Virginia","510","Northampton","1310","Northampton","40","1310",6763,6763,0,654,3178
"G5101330","1800","Virginia","510","Northumberland","1330","Northumberland","40","1330",7803,7803,0,221,3903
"G5101350","1800","Virginia","510","Nottoway","1350","Nottoway","40","1350",9401,9401,0,107,5983
"G5101355","1800","Virginia","510","Ohio","1355","Ohio","40","1355",4740,4740,0,15,257
"G5101370","1800","Virginia","510","Orange","1370","Orange","40","1370",11449,11449,0,47,5242
"G5101410","1800","Virginia","510","Patrick","1410","Patrick","40","1410",4331,4331,0,130,649
"G5101415","1800","Virginia","510","Pendleton","1415","Pendleton","40","1415",3962,3962,0,14,132
"G5101430","1800","Virginia","510","Pittsylvania","1430","Pittsylvania","40","1430",12697,12697,0,61,4133
"G5101450","1800","Virginia","510","Powhatan","1450","Powhatan","40","1450",7769,7769,0,345,5031
"G5101470","1800","Virginia","510","Prince Edward","1470","Prince Edward","40","1470",10962,10962,0,63,5921
"G5101490","1800","Virginia","510","Prince George","1490","Prince George","40","1490",7425,7425,0,250,4380
"G5101510","1800","Virginia","510","Princess Anne","1510","Princess Anne","40","1510",8859,8859,0,85,3574
"G5101530","1800","Virginia","510","Prince William","1530","Prince William","40","1530",12733,12733,0,342,5416
"G5101557","1800","Virginia","510","Randolph","1557","Randolph","40","1567",1826,1826,0,2,85
"G5101590","1800","Virginia","510","Richmond","1590","Richmond","40","8010",13744,13744,0,584,7826
"G5101630","1800","Virginia","510","Rockbridge","1630","Rockbridge","40","1630",8945,8945,0,97,1070
"G5101650","1800","Virginia","510","Rockingham","1650","Rockingham","40","1650",10374,10374,0,56,1052
"G5101670","1800","Virginia","510","Russell","1670","Russell","40","1670",4808,4808,0,13,352
"G5101710","1800","Virginia","510","Shenandoah","1710","Shenandoah","40","1710",13823,13823,0,85,791
"G5101750","1800","Virginia","510","Southampton","1750","Southampton","40","1750",13925,13925,0,839,6625
"G5101770","1800","Virginia","510","Spotsylvania","1770","Spotsylvania","40","1770",13002,13002,0,297,6830
"G5101790","1800","Virginia","510","Stafford","1790","Stafford","40","1790",9971,9971,0,193,4343
"G5101810","1800","Virginia","510","Surry","1810","Surry","40","1810",6535,6535,0,500,3258
"G5101830","1800","Virginia","510","Sussex","1830","Sussex","40","1830",11062,11062,0,542,5988
"G5101850","1800","Virginia","510","Tazewell","1850","Tazewell","40","1850",2127,2127,0,13,219
"G5101890","1800","Virginia","510","Warwick","1890","Warwick","40","1875",1659,1659,0,21,1024
"G5101910","1800","Virginia","510","Washington","1910","Washington","40","1910",9536,9536,0,386,900
"G5101953","1800","Virginia","510","Wood","1953","Wood","40","1955",1217,1217,0,1,61
"G5101970","1800","Virginia","510","Wythe","1970","Wythe","40","1970",6380,6380,0,11,831
"G5101990","1800","Virginia","510","York","1990","York","40","1990",3231,3231,0,45,2020
"G5107100","1800","Virginia","510","Norfolk City","7100","Norfolk City","40","7100",6926,6926,6926,352,2724
"G5107300","1800","Virginia","510","Petersburg City","7300","Petersburg City","40","7300",3521,3521,3521,428,1487
"G5107600","1800","Virginia","510","Richmond City","7600","Richmond City","40","7600",5737,5737,5737,607,2293
