GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABN001,ABU001,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006
"G1700450","1830","Illinois","170","Edgar","0450","Edgar","21","450",4071,0,2126,1930,0,0,3,12
"G1700470","1830","Illinois","170","Edwards","0470","Edwards","21","470",1649,0,866,743,0,0,14,26
"G1700510","1830","Illinois","170","Fayette","0510","Fayette","21","510",2704,0,1391,1278,11,13,4,7
"G1700550","1830","Illinois","170","Franklin","0550","Franklin","21","550",4083,0,2077,1959,2,7,18,20
"G1700570","1830","Illinois","170","Fulton","0570","Fulton","21","570",1841,0,996,845,0,0,0,0
"G1700590","1830","Illinois","170","Gallatin","0590","Gallatin","21","590",7405,0,3652,3287,76,108,150,132
"G1700610","1830","Illinois","170","Greene","0610","Greene","21","610",7674,0,4031,3603,5,4,15,16
"G1700650","1830","Illinois","170","Hamilton","0650","Hamilton","21","650",2616,0,1380,1226,0,2,2,6
"G1700670","1830","Illinois","170","Hancock","0670","Hancock","21","670",483,0,264,219,0,0,0,0
"G1700730","1830","Illinois","170","Henry","0730","Henry","21","730",41,0,19,22,0,0,0,0
"G1700770","1830","Illinois","170","Jackson","0770","Jackson","21","770",1828,0,934,832,13,8,23,18
"G1700810","1830","Illinois","170","Jefferson","0810","Jefferson","21","810",2555,0,1304,1248,0,0,3,0
"G1700850","1830","Illinois","170","Jo Daviess","0850","Jo Daviess","21","850",2111,0,1378,669,11,20,18,15
"G1700870","1830","Illinois","170","Johnson","0870","Johnson","21","870",1596,0,871,713,6,5,1,0
"G1700950","1830","Illinois","170","Knox","0950","Knox","21","950",274,0,148,126,0,0,0,0
"G1701010","1830","Illinois","170","Lawrence","1010","Lawrence","21","1010",3668,0,1839,1656,0,0,87,86
"G1701150","1830","Illinois","170","Macon","1150","Macon","21","1150",1122,0,602,520,0,0,0,0
"G1701170","1830","Illinois","170","Macoupin","1170","Macoupin","21","1170",1990,0,1049,941,0,0,0,0
"G1701190","1830","Illinois","170","Madison","1190","Madison","21","1190",6221,0,3275,2829,11,13,50,43
"G1701210","1830","Illinois","170","Marion","1210","Marion","21","1210",2125,0,1092,1029,0,1,2,1
"G1701310","1830","Illinois","170","Mercer","1310","Mercer","21","1310",26,0,15,11,0,0,0,0
"G1701330","1830","Illinois","170","Monroe","1330","Monroe","21","1330",2000,0,1095,864,18,20,0,3
"G1701350","1830","Illinois","170","Montgomery","1350","Montgomery","21","1350",2953,0,1568,1377,1,3,1,3
"G1701370","1830","Illinois","170","Morgan","1370","Morgan","21","1370",12714,0,6592,6090,0,0,13,19
"G1701450","1830","Illinois","170","Perry","1450","Perry","21","1450",1215,0,627,584,1,3,0,0
"G1701490","1830","Illinois","170","Pike","1490","Pike","21","1490",2396,0,1328,1065,0,0,2,1
"G1701510","1830","Illinois","170","Pope","1510","Pope","21","1510",3316,0,1638,1594,10,15,30,29
"G1701550","1830","Illinois","170","Putnam","1550","Putnam","21","1435",1310,0,787,482,0,0,20,21
"G1701570","1830","Illinois","170","Randolph","1570","Randolph","21","1570",4429,0,2128,1938,111,100,87,65
"G1701630","1830","Illinois","170","St Clair","1630","St Clair","21","1630",7078,0,3628,3143,52,44,96,115
"G1701670","1830","Illinois","170","Sangamon","1670","Sangamon","21","1670",12960,0,6602,6311,4,9,13,21
"G1701690","1830","Illinois","170","Schuyler","1690","Schuyler","21","1695",2959,0,1548,1409,0,0,2,0
"G1701730","1830","Illinois","170","Shelby","1730","Shelby","21","1730",2972,0,1541,1429,1,1,0,0
"G1701790","1830","Illinois","170","Tazewell","1790","Tazewell","21","1790",4716,0,2579,2122,1,3,6,5
"G1701810","1830","Illinois","170","Union","1810","Union","21","1810",3239,0,1663,1541,3,1,17,14
"G1701830","1830","Illinois","170","Vermilion","1830","Vermilion","21","1830",5836,0,2994,2836,0,0,4,2
"G1701850","1830","Illinois","170","Wabash","1850","Wabash","21","1850",2710,0,1369,1324,0,0,9,8
"G1701870","1830","Illinois","170","Warren","1870","Warren","21","1870",308,0,187,121,0,0,0,0
"G1701890","1830","Illinois","170","Washington","1890","Washington","21","1890",1675,0,871,768,5,8,12,11
"G1701910","1830","Illinois","170","Wayne","1910","Wayne","21","1910",2553,0,1358,1189,0,3,2,1
"G1701930","1830","Illinois","170","White","1930","White","21","1930",6091,0,3137,2848,0,0,54,52
"G1800030","1830","Indiana","180","Allen","0030","Allen","22","30",996,0,564,428,0,0,4,0
"G1800050","1830","Indiana","180","Bartholomew","0050","Bartholomew","22","50",5476,0,2807,2663,0,0,3,3
"G1800110","1830","Indiana","180","Boone","0110","Boone","22","110",621,0,320,299,0,0,1,1
"G1800150","1830","Indiana","180","Carroll","0150","Carroll","22","150",1611,0,879,732,0,0,0,0
"G1800170","1830","Indiana","180","Cass","0170","Cass","22","170",1162,0,718,428,0,0,10,6
"G1800190","1830","Indiana","180","Clark","0190","Clark","22","190",10686,0,5381,5062,0,0,118,125
"G1800210","1830","Indiana","180","Clay","0210","Clay","22","210",1616,0,821,794,0,0,1,0
"G1800230","1830","Indiana","180","Clinton","0230","Clinton","22","230",1423,0,765,657,0,0,1,0
"G1800250","1830","Indiana","180","Crawford","0250","Crawford","22","250",3238,0,1676,1562,0,0,0,0
"G1800270","1830","Indiana","180","Daviess","0270","Daviess","22","270",4543,0,2328,2171,0,0,22,22
"G1800290","1830","Indiana","180","Dearborn","0290","Dearborn","22","290",13974,0,7223,6689,0,0,36,26
"G1800310","1830","Indiana","180","Decatur","0310","Decatur","22","310",5887,0,2948,2929,0,1,3,6
"G1800350","1830","Indiana","180","Delaware","0350","Delaware","22","350",2374,0,1234,1138,0,0,2,0
"G1800370","1830","Indiana","180","Dubois","0370","Dubois","22","370",1778,0,936,840,0,0,0,2
"G1800390","1830","Indiana","180","Elkhart","0390","Elkhart","22","390",935,0,513,422,0,0,0,0
"G1800410","1830","Indiana","180","Fayette","0410","Fayette","22","410",9112,0,4668,4413,0,0,15,16
"G1800430","1830","Indiana","180","Floyd","0430","Floyd","22","430",6361,0,3230,2866,0,0,136,129
"G1800450","1830","Indiana","180","Fountain","0450","Fountain","22","450",7619,0,3989,3621,0,0,4,5
"G1800470","1830","Indiana","180","Franklin","0470","Franklin","22","470",10190,0,5187,4912,0,0,41,50
"G1800510","1830","Indiana","180","Gibson","0510","Gibson","22","510",5418,0,2764,2601,0,0,25,28
"G1800550","1830","Indiana","180","Greene","0550","Greene","22","550",4242,0,2184,2017,0,0,25,16
"G1800570","1830","Indiana","180","Hamilton","0570","Hamilton","22","570",1757,0,922,834,0,0,1,0
"G1800590","1830","Indiana","180","Hancock","0590","Hancock","22","590",1436,0,726,710,0,0,0,0
"G1800610","1830","Indiana","180","Harrison","0610","Harrison","22","610",10273,0,5056,5094,0,0,65,58
"G1800630","1830","Indiana","180","Hendricks","0630","Hendricks","22","630",3975,0,2000,1970,0,0,3,2
"G1800650","1830","Indiana","180","Henry","0650","Henry","22","650",6497,0,3315,3141,0,0,24,17
"G1800710","1830","Indiana","180","Jackson","0710","Jackson","22","710",4870,0,2476,2274,0,0,61,59
"G1800770","1830","Indiana","180","Jefferson","0770","Jefferson","22","770",11465,0,5779,5446,0,0,122,118
"G1800790","1830","Indiana","180","Jennings","0790","Jennings","22","790",3974,0,2009,1907,0,0,27,31
"G1800810","1830","Indiana","180","Johnson","0810","Johnson","22","810",4019,0,2104,1909,0,0,3,3
"G1800830","1830","Indiana","180","Knox","0830","Knox","22","830",6525,0,3274,2804,0,0,230,217
"G1800930","1830","Indiana","180","Lawrence","0930","Lawrence","22","930",9234,0,4764,4411,0,0,29,30
"G1800950","1830","Indiana","180","Madison","0950","Madison","22","950",2238,0,1141,1086,0,0,3,8
"G1800970","1830","Indiana","180","Marion","0970","Marion","22","970",7192,0,3660,3459,0,0,37,36
"G1801010","1830","Indiana","180","Martin","1010","Martin","22","1010",2010,0,1049,950,0,0,8,3
"G1801050","1830","Indiana","180","Monroe","1050","Monroe","22","1050",6577,0,3354,3153,0,0,29,41
"G1801070","1830","Indiana","180","Montgomery","1070","Montgomery","22","1070",7317,0,3818,3490,0,0,2,7
"G1801090","1830","Indiana","180","Morgan","1090","Morgan","22","1090",5593,0,2915,2647,0,0,14,17
"G1801170","1830","Indiana","180","Orange","1170","Orange","22","1170",7901,0,3944,3832,0,1,66,58
"G1801190","1830","Indiana","180","Owen","1190","Owen","22","1190",4017,0,2094,1898,0,0,13,12
"G1801210","1830","Indiana","180","Parke","1210","Parke","22","1210",7535,0,3900,3619,0,0,8,8
